HpoCode	ICD	ICDdescription	HpoDescription	PheCode	PheCodeDescription	version	cluster	subset
HP:0000252	Q04.3	Pachygyria	Microcephaly	752.2	Other specified congenital anomalies of nervous system	10	2	Pediatric
HP:0000252	Q06.1	Myelodysplasia of spinal cord	Microcephaly	752.2	Other specified congenital anomalies of nervous system	10	1	Pediatric
HP:0000252	Q06.1	Myelodysplasia of spinal cord	Microcephaly	752.2	Other specified congenital anomalies of nervous system	10	2	Pediatric
HP:0000252	Q03.0	Stenosis of aqueduct of Sylvius	Microcephaly	752.2	Other specified congenital anomalies of nervous system	10	1	Pediatric
HP:0000252	Q03.0	Stenosis of aqueduct of Sylvius	Microcephaly	752.2	Other specified congenital anomalies of nervous system	10	2	Pediatric
HP:0000252	Q04.6	Schizencephaly	Microcephaly	752.2	Other specified congenital anomalies of nervous system	10	1	Pediatric
HP:0000252	Q04.6	Schizencephaly	Microcephaly	752.2	Other specified congenital anomalies of nervous system	10	2	Pediatric
HP:0000252	Q06.0	Amyelia	Microcephaly	752.2	Other specified congenital anomalies of nervous system	10	1	Pediatric
HP:0000252	Q06.0	Amyelia	Microcephaly	752.2	Other specified congenital anomalies of nervous system	10	2	Pediatric
HP:0000252	Q04.0	Congenital malformations of corpus callosum	Microcephaly	752.2	Other specified congenital anomalies of nervous system	10	1	Pediatric
HP:0000252	Q04.0	Congenital malformations of corpus callosum	Microcephaly	752.2	Other specified congenital anomalies of nervous system	10	2	Pediatric
HP:0000252	Q04.1	Arhinencephaly	Microcephaly	752.2	Other specified congenital anomalies of nervous system	10	1	Pediatric
HP:0000252	Q04.1	Arhinencephaly	Microcephaly	752.2	Other specified congenital anomalies of nervous system	10	2	Pediatric
HP:0000252	Q04.5	Megalencephaly	Microcephaly	752.2	Other specified congenital anomalies of nervous system	10	1	Pediatric
HP:0000252	Q04.5	Megalencephaly	Microcephaly	752.2	Other specified congenital anomalies of nervous system	10	2	Pediatric
HP:0000252	Q06	Other congenital malformations of spinal cord	Microcephaly	752.2	Other specified congenital anomalies of nervous system	10	1	Pediatric
HP:0000252	Q06	Other congenital malformations of spinal cord	Microcephaly	752.2	Other specified congenital anomalies of nervous system	10	2	Pediatric
HP:0000316	376.43	Local deformities of orbit due to bone disease	Hypertelorism	376	Disorders of the orbit	9	1	Pediatric
HP:0000316	376.46	Enlargement of orbit	Hypertelorism	376	Disorders of the orbit	9	1	Pediatric
HP:0000316	376.47	Deformity of orbit due to trauma or surgery	Hypertelorism	376	Disorders of the orbit	9	1	Pediatric
HP:0000316	376.44	Orbital deformities associated with craniofacial deformities	Hypertelorism	376	Disorders of the orbit	9	1	Pediatric
HP:0000316	376	Disorders of the orbit	Hypertelorism	376	Disorders of the orbit	9	1	Pediatric
HP:0000316	376.81	Orbital cysts	Hypertelorism	376	Disorders of the orbit	9	1	Pediatric
HP:0000316	H05.351	Exostosis of right orbit	Hypertelorism	376	Disorders of the orbit	10	1	Pediatric
HP:0000316	H05.212	Displacement (lateral) of globe, left eye	Hypertelorism	376	Disorders of the orbit	10	1	Pediatric
HP:0000316	H05.213	Displacement (lateral) of globe, bilateral	Hypertelorism	376	Disorders of the orbit	10	1	Pediatric
HP:0000316	H05.219	Displacement (lateral) of globe, unspecified eye	Hypertelorism	376	Disorders of the orbit	10	1	Pediatric
HP:0000316	H05.4	Enophthalmos	Hypertelorism	376	Disorders of the orbit	10	1	Pediatric
HP:0000316	H05.30	Unspecified deformity of orbit	Hypertelorism	376	Disorders of the orbit	10	1	Pediatric
HP:0000316	H05.31	Atrophy of orbit	Hypertelorism	376	Disorders of the orbit	10	1	Pediatric
HP:0000316	H05.311	Atrophy of right orbit	Hypertelorism	376	Disorders of the orbit	10	1	Pediatric
HP:0000316	H05.312	Atrophy of left orbit	Hypertelorism	376	Disorders of the orbit	10	1	Pediatric
HP:0000316	376.4	Deformity of orbit	Hypertelorism	376	Disorders of the orbit	9	1	Pediatric
HP:0000316	376.40	Deformity of orbit, unspecified	Hypertelorism	376	Disorders of the orbit	9	1	Pediatric
HP:0000316	376.89	Other orbital disorders	Hypertelorism	376	Disorders of the orbit	9	1	Pediatric
HP:0000316	376.9	Unspecified disorder of orbit	Hypertelorism	376	Disorders of the orbit	9	1	Pediatric
HP:0000316	H05.211	Displacement (lateral) of globe, right eye	Hypertelorism	376	Disorders of the orbit	10	1	Pediatric
HP:0000316	H05.323	Deformity of bilateral orbits due to bone disease	Hypertelorism	376	Disorders of the orbit	10	1	Pediatric
HP:0000316	H05.329	Deformity of unspecified orbit due to bone disease	Hypertelorism	376	Disorders of the orbit	10	1	Pediatric
HP:0000316	H05.33	Deformity of orbit due to trauma or surgery	Hypertelorism	376	Disorders of the orbit	10	1	Pediatric
HP:0000316	H05.331	Deformity of right orbit due to trauma or surgery	Hypertelorism	376	Disorders of the orbit	10	1	Pediatric
HP:0000316	H05.332	Deformity of left orbit due to trauma or surgery	Hypertelorism	376	Disorders of the orbit	10	1	Pediatric
HP:0000316	376.5	Enophthalmos	Hypertelorism	376	Disorders of the orbit	9	1	Pediatric
HP:0000316	376.50	Enophthalmos NOS	Hypertelorism	376	Disorders of the orbit	9	1	Pediatric
HP:0000316	376.51	Enophthalmos due to atrophy of orbital tissue	Hypertelorism	376	Disorders of the orbit	9	1	Pediatric
HP:0000316	H05.343	Enlargement of bilateral orbits	Hypertelorism	376	Disorders of the orbit	10	1	Pediatric
HP:0000316	376.82	Myopathy of extraocular muscles	Hypertelorism	376	Disorders of the orbit	9	1	Pediatric
HP:0000316	H05.32	Deformity of orbit due to bone disease	Hypertelorism	376	Disorders of the orbit	10	1	Pediatric
HP:0000316	H05.321	Deformity of right orbit due to bone disease	Hypertelorism	376	Disorders of the orbit	10	1	Pediatric
HP:0000316	H05.322	Deformity of left orbit due to bone disease	Hypertelorism	376	Disorders of the orbit	10	1	Pediatric
HP:0000316	H05.35	Exostosis of orbit	Hypertelorism	376	Disorders of the orbit	10	1	Pediatric
HP:0000316	H05.352	Exostosis of left orbit	Hypertelorism	376	Disorders of the orbit	10	1	Pediatric
HP:0000316	H05.353	Exostosis of bilateral orbits	Hypertelorism	376	Disorders of the orbit	10	1	Pediatric
HP:0000316	H05.359	Exostosis of unspecified orbit	Hypertelorism	376	Disorders of the orbit	10	1	Pediatric
HP:0000316	H05.422	Enophthalmos due to trauma or surgery, left eye	Hypertelorism	376	Disorders of the orbit	10	1	Pediatric
HP:0000316	H05.40	Unspecified enophthalmos	Hypertelorism	376	Disorders of the orbit	10	1	Pediatric
HP:0000316	H05.401	Unspecified enophthalmos, right eye	Hypertelorism	376	Disorders of the orbit	10	1	Pediatric
HP:0000316	H05.402	Unspecified enophthalmos, left eye	Hypertelorism	376	Disorders of the orbit	10	1	Pediatric
HP:0000316	376.36	Lateral displacement of globe	Hypertelorism	376	Disorders of the orbit	9	1	Pediatric
HP:0000316	H05.319	Atrophy of unspecified orbit	Hypertelorism	376	Disorders of the orbit	10	1	Pediatric
HP:0000316	H05.812	Cyst of left orbit	Hypertelorism	376	Disorders of the orbit	10	1	Pediatric
HP:0000316	H05	Disorders of orbit	Hypertelorism	376	Disorders of the orbit	10	1	Pediatric
HP:0000316	H05.349	Enlargement of unspecified orbit	Hypertelorism	376	Disorders of the orbit	10	1	Pediatric
HP:0000316	H05.413	Enophthalmos due to atrophy of orbital tissue, bilateral	Hypertelorism	376	Disorders of the orbit	10	1	Pediatric
HP:0000316	H05.419	Enophthalmos due to atrophy of orbital tissue, unspecified eye	Hypertelorism	376	Disorders of the orbit	10	1	Pediatric
HP:0000316	H05.42	Enophthalmos due to trauma or surgery	Hypertelorism	376	Disorders of the orbit	10	1	Pediatric
HP:0000316	H05.421	Enophthalmos due to trauma or surgery, right eye	Hypertelorism	376	Disorders of the orbit	10	1	Pediatric
HP:0000316	H05.829	Myopathy of extraocular muscles, unspecified orbit	Hypertelorism	376	Disorders of the orbit	10	1	Pediatric
HP:0000316	H05.423	Enophthalmos due to trauma or surgery, bilateral	Hypertelorism	376	Disorders of the orbit	10	1	Pediatric
HP:0000316	H05.429	Enophthalmos due to trauma or surgery, unspecified eye	Hypertelorism	376	Disorders of the orbit	10	1	Pediatric
HP:0000316	H05.8	Other disorders of orbit	Hypertelorism	376	Disorders of the orbit	10	1	Pediatric
HP:0000316	H05.81	Encephalocele of orbit	Hypertelorism	376	Disorders of the orbit	10	1	Pediatric
HP:0000316	376.8	Other orbital disorders	Hypertelorism	376	Disorders of the orbit	9	1	Pediatric
HP:0000316	H05.342	Enlargement of left orbit	Hypertelorism	376	Disorders of the orbit	10	1	Pediatric
HP:0000316	H05.813	Cyst of bilateral orbits	Hypertelorism	376	Disorders of the orbit	10	1	Pediatric
HP:0000316	H05.819	Cyst of unspecified orbit	Hypertelorism	376	Disorders of the orbit	10	1	Pediatric
HP:0000316	H05.82	Myopathy of extraocular muscles	Hypertelorism	376	Disorders of the orbit	10	1	Pediatric
HP:0000316	H05.821	Myopathy of extraocular muscles, right orbit	Hypertelorism	376	Disorders of the orbit	10	1	Pediatric
HP:0000316	H05.822	Myopathy of extraocular muscles, left orbit	Hypertelorism	376	Disorders of the orbit	10	1	Pediatric
HP:0000316	H05.823	Myopathy of extraocular muscles, bilateral	Hypertelorism	376	Disorders of the orbit	10	1	Pediatric
HP:0000316	H05.34	Enlargement of orbit	Hypertelorism	376	Disorders of the orbit	10	1	Pediatric
HP:0000316	H05.89	Other disorders of orbit	Hypertelorism	376	Disorders of the orbit	10	1	Pediatric
HP:0000316	H05.333	Deformity of bilateral orbits due to trauma or surgery	Hypertelorism	376	Disorders of the orbit	10	1	Pediatric
HP:0000316	H05.339	Deformity of unspecified orbit due to trauma or surgery	Hypertelorism	376	Disorders of the orbit	10	1	Pediatric
HP:0000316	H05.411	Enophthalmos due to atrophy of orbital tissue, right eye	Hypertelorism	376	Disorders of the orbit	10	1	Pediatric
HP:0000316	H05.811	Cyst of right orbit	Hypertelorism	376	Disorders of the orbit	10	1	Pediatric
HP:0000316	H05.409	Unspecified enophthalmos, unspecified eye	Hypertelorism	376	Disorders of the orbit	10	1	Pediatric
HP:0000316	H05.313	Atrophy of bilateral orbit	Hypertelorism	376	Disorders of the orbit	10	1	Pediatric
HP:0000316	H05.341	Enlargement of right orbit	Hypertelorism	376	Disorders of the orbit	10	1	Pediatric
HP:0000316	H05.21	Displacement (lateral) of globe	Hypertelorism	376	Disorders of the orbit	10	1	Pediatric
HP:0000316	376.41	Hypertelorism of orbit	Hypertelorism	376	Disorders of the orbit	9	1	Pediatric
HP:0000316	376.42	Exostosis of orbit	Hypertelorism	376	Disorders of the orbit	9	1	Pediatric
HP:0000316	H05.9	Unspecified disorder of orbit	Hypertelorism	376	Disorders of the orbit	10	1	Pediatric
HP:0000316	376.45	Atrophy of orbit	Hypertelorism	376	Disorders of the orbit	9	1	Pediatric
HP:0000316	H05.3	Deformity of orbit	Hypertelorism	376	Disorders of the orbit	10	1	Pediatric
HP:0000316	H05.41	Enophthalmos due to atrophy of orbital tissue	Hypertelorism	376	Disorders of the orbit	10	1	Pediatric
HP:0000316	376.52	Enophthalmos due to trauma or surgery	Hypertelorism	376	Disorders of the orbit	9	1	Pediatric
HP:0000316	H05.403	Unspecified enophthalmos, bilateral	Hypertelorism	376	Disorders of the orbit	10	1	Pediatric
HP:0000316	H05.412	Enophthalmos due to atrophy of orbital tissue, left eye	Hypertelorism	376	Disorders of the orbit	10	1	Pediatric
HP:0000486	378.73	Strabismus in other neuromuscular disorders	Strabismus	378	Strabismus and other disorders of binocular eye movements	9	2	Pediatric
HP:0000486	H51.11	Convergence insufficiency	Strabismus	378	Strabismus and other disorders of binocular eye movements	10	2	Pediatric
HP:0000486	H51.21	Internuclear ophthalmoplegia, right eye	Strabismus	378	Strabismus and other disorders of binocular eye movements	10	2	Pediatric
HP:0000486	H51.12	Convergence excess	Strabismus	378	Strabismus and other disorders of binocular eye movements	10	2	Pediatric
HP:0000486	H51	Other disorders of binocular movement	Strabismus	378	Strabismus and other disorders of binocular eye movements	10	2	Pediatric
HP:0000486	H51.1	Convergence insufficiency and excess	Strabismus	378	Strabismus and other disorders of binocular eye movements	10	2	Pediatric
HP:0000486	H50.9	Unspecified strabismus	Strabismus	378	Strabismus and other disorders of binocular eye movements	10	2	Pediatric
HP:0000486	378	Strabismus and other disorders of binocular eye movements	Strabismus	378	Strabismus and other disorders of binocular eye movements	9	2	Pediatric
HP:0000486	H51.2	Internuclear ophthalmoplegia	Strabismus	378	Strabismus and other disorders of binocular eye movements	10	2	Pediatric
HP:0000486	H51.20	Internuclear ophthalmoplegia, unspecified eye	Strabismus	378	Strabismus and other disorders of binocular eye movements	10	2	Pediatric
HP:0000486	378.9	Unspecified disorder of eye movements	Strabismus	378	Strabismus and other disorders of binocular eye movements	9	2	Pediatric
HP:0000486	H51.22	Internuclear ophthalmoplegia, left eye	Strabismus	378	Strabismus and other disorders of binocular eye movements	10	2	Pediatric
HP:0000486	H49.4	Progressive external ophthalmoplegia	Strabismus	378	Strabismus and other disorders of binocular eye movements	10	2	Pediatric
HP:0000486	H50.812	Duane's syndrome, left eye	Strabismus	378	Strabismus and other disorders of binocular eye movements	10	2	Pediatric
HP:0000486	378.72	Progressive external ophthalmoplegia	Strabismus	378	Strabismus and other disorders of binocular eye movements	9	2	Pediatric
HP:0000486	H50.89	Other specified strabismus	Strabismus	378	Strabismus and other disorders of binocular eye movements	10	2	Pediatric
HP:0000486	378.85	Anomalies of divergence	Strabismus	378	Strabismus and other disorders of binocular eye movements	9	2	Pediatric
HP:0000486	H51.0	Palsy (spasm) of conjugate gaze	Strabismus	378	Strabismus and other disorders of binocular eye movements	10	2	Pediatric
HP:0000486	H50.81	Duane's syndrome	Strabismus	378	Strabismus and other disorders of binocular eye movements	10	2	Pediatric
HP:0000486	378.83	Convergence insufficiency or palsy	Strabismus	378	Strabismus and other disorders of binocular eye movements	9	2	Pediatric
HP:0000486	378.8	Other disorders of binocular eye movements	Strabismus	378	Strabismus and other disorders of binocular eye movements	9	2	Pediatric
HP:0000486	378.71	Duane's syndrome	Strabismus	378	Strabismus and other disorders of binocular eye movements	9	2	Pediatric
HP:0000486	378.87	Other dissociated deviation of eye movements	Strabismus	378	Strabismus and other disorders of binocular eye movements	9	2	Pediatric
HP:0000486	378.86	Internuclear ophthalmoplegia	Strabismus	378	Strabismus and other disorders of binocular eye movements	9	2	Pediatric
HP:0000486	H50.811	Duane's syndrome, right eye	Strabismus	378	Strabismus and other disorders of binocular eye movements	10	2	Pediatric
HP:0000486	378.81	Palsy of conjugate gaze	Strabismus	378	Strabismus and other disorders of binocular eye movements	9	2	Pediatric
HP:0000486	378.82	Spasm of conjugate gaze	Strabismus	378	Strabismus and other disorders of binocular eye movements	9	2	Pediatric
HP:0000486	H51.9	Unspecified disorder of binocular movement	Strabismus	378	Strabismus and other disorders of binocular eye movements	10	2	Pediatric
HP:0000486	378.84	Convergence excess or spasm	Strabismus	378	Strabismus and other disorders of binocular eye movements	9	2	Pediatric
HP:0000486	H51.8	Other specified disorders of binocular movement	Strabismus	378	Strabismus and other disorders of binocular eye movements	10	2	Pediatric
HP:0000486	H51.23	Internuclear ophthalmoplegia, bilateral	Strabismus	378	Strabismus and other disorders of binocular eye movements	10	2	Pediatric
HP:0000716	296.21	Major depressive disorder, single episode, mild degree	Depression	296.2	Depression	9	1	Adults
HP:0000716	311	Depressive disorder NEC	Depression	296.2	Depression	9	1	Adults
HP:0000716	296.31	Major depressive disorder, recurrent episode, mild degree	Depression	296.2	Depression	9	1	Adults
HP:0000739	300.10	Hysteria unspecified	Anxiety	300.1	Anxiety disorder	9	3	Pediatric
HP:0000739	300.10	Hysteria unspecified	Anxiety	300.1	Anxiety disorder	9	1	Adults
HP:0000739	300.09	Other anxiety states	Anxiety	300.1	Anxiety disorder	9	3	Pediatric
HP:0000739	300.09	Other anxiety states	Anxiety	300.1	Anxiety disorder	9	1	Adults
HP:0000739	313.0	Overanxious disorder	Anxiety	300.1	Anxiety disorder	9	3	Pediatric
HP:0000739	313.0	Overanxious disorder	Anxiety	300.1	Anxiety disorder	9	1	Adults
HP:0000739	293.84	Anxiety disorder in conditions classified elsewhere	Anxiety	300.1	Anxiety disorder	9	3	Pediatric
HP:0000739	293.84	Anxiety disorder in conditions classified elsewhere	Anxiety	300.1	Anxiety disorder	9	1	Adults
HP:0000739	F41.8	Other specified anxiety disorders	Anxiety	300.1	Anxiety disorder	10	3	Pediatric
HP:0000739	F41.8	Other specified anxiety disorders	Anxiety	300.1	Anxiety disorder	10	1	Adults
HP:0000739	F41.9	Anxiety disorder, unspecified	Anxiety	300.1	Anxiety disorder	10	3	Pediatric
HP:0000739	F41.9	Anxiety disorder, unspecified	Anxiety	300.1	Anxiety disorder	10	1	Adults
HP:0000739	300.00	Anxiety state unspecified	Anxiety	300.1	Anxiety disorder	9	3	Pediatric
HP:0000739	300.00	Anxiety state unspecified	Anxiety	300.1	Anxiety disorder	9	1	Adults
HP:0000739	F41.3	Other mixed anxiety disorders	Anxiety	300.1	Anxiety disorder	10	3	Pediatric
HP:0000739	F41.3	Other mixed anxiety disorders	Anxiety	300.1	Anxiety disorder	10	1	Adults
HP:0000739	300.0	Anxiety states	Anxiety	300.1	Anxiety disorder	9	3	Pediatric
HP:0000739	300.0	Anxiety states	Anxiety	300.1	Anxiety disorder	9	1	Adults
HP:0000739	F06.4	Anxiety disorder due to known physiological condition	Anxiety	300.1	Anxiety disorder	10	3	Pediatric
HP:0000739	F06.4	Anxiety disorder due to known physiological condition	Anxiety	300.1	Anxiety disorder	10	1	Adults
HP:0000750	V40.1	Mental and behavioral problems with communication [including speech]	Delayed speech and language development	315.2	Speech and language disorder	9	4	Pediatric
HP:0000750	F80.8	Other developmental disorders of speech and language	Delayed speech and language development	315.2	Speech and language disorder	10	4	Pediatric
HP:0000750	F80.4	Speech and language development delay due to hearing loss	Delayed speech and language development	315.2	Speech and language disorder	10	4	Pediatric
HP:0000750	F80.0	Speech-sound disorder	Delayed speech and language development	315.2	Speech and language disorder	10	4	Pediatric
HP:0000750	315.31	Expressive language disorder	Delayed speech and language development	315.2	Speech and language disorder	9	4	Pediatric
HP:0000750	F80.1	Expressive language disorder	Delayed speech and language development	315.2	Speech and language disorder	10	4	Pediatric
HP:0000750	315.3	Developmental speech or language disorder	Delayed speech and language development	315.2	Speech and language disorder	9	4	Pediatric
HP:0000750	315.34	Speech and language developmental delay due to hearing loss	Delayed speech and language development	315.2	Speech and language disorder	9	4	Pediatric
HP:0000750	F80.2	Mixed receptive-expressive language disorder	Delayed speech and language development	315.2	Speech and language disorder	10	4	Pediatric
HP:0000750	315.39	Other developmental speech disorder	Delayed speech and language development	315.2	Speech and language disorder	9	4	Pediatric
HP:0000750	F80.81	Stuttering NOS	Delayed speech and language development	315.2	Speech and language disorder	10	4	Pediatric
HP:0000750	F80.82	Social pragmatic communication disorder	Delayed speech and language development	315.2	Speech and language disorder	10	4	Pediatric
